IDN,CREATOR,TITLE,DATE,PUBLISHER,URN,ISBN,TYPE
1061058093,N/A,Die Welt im Kalten Krieg : Internationale Beziehungen 1945-1989 / Franz Knipping,2037,Paderborn : Schöningh Paderborn,N/A,"978-3-506-73729-8 Leinen. : ca. EUR 80.00 (DE), ca. EUR 82.30 (AT), ca. sfr 103.00 (freier Pr.)",N/A
1310858659,"Fender, Dennis [Verfasser]","Découvertes - AUT AH 4 : Découvertes 4. Version Autriche. Cahier d'activités, Arbeitsheft mit Mediensammlung / Florian Guy, Dennis Fender, Christiane Freers-Jung, Tiana Lichte, Christiane Neveling [und weitere]",2028,"Wien : öbv, Firmensitz Wien",N/A,"978-3-209-13501-8 : EUR 9.50 (DE), EUR 9.50 (AT)",N/A
1310858675,N/A,"Begegnungen m. d. Natur OS MT : Begegnungen mit der Natur, Maturatraining / Christine Eva Biegl",2027,"Wien : öbv, Firmensitz Wien",N/A,"978-3-209-13473-8 : EUR 15.70 (DE), EUR 15.70 (AT)",N/A
1310863806,"Fender, Dennis [Verfasser]","Découvertes - AUT AH 3 : Découvertes 3. Version Autriche. Cahier d'activités, Arbeitsheft mit Mediensammlung / Florian Guy, Dennis Fender, Christiane Freers-Jung, Tiana Lichte, Christiane Neveling [und weitere]",2027,"Wien : öbv, Firmensitz Wien",N/A,"978-3-209-13500-1 : EUR 9.50 (DE), EUR 9.50 (AT)",N/A
1310866783,N/A,"Découvertes 2. Version Autriche. Cahier d'activités, Arbeitsheft mit Mediensammlung",2026,"Wien : öbv, Firmensitz Wien",N/A,"978-3-209-13499-8 : EUR 9.50 (DE), EUR 9.50 (AT)",N/A
1154398811,"Pfeiffer, Jalda [Verfasser]","Südost-Frankreich per Rad : Provence - Alpen - Côte d'Azur / Stefan Pfeiffer, Jalda Pfeiffer",2026,"Neuenhagen b Berlin : Kettler, W",N/A,"978-3-932546-54-9 : EUR 15.90 (DE), EUR 16.40 (AT)",N/A
1323856676,"Vital, Bettina [Herausgeber]",Antologia d'amur,2025,Chur : Chasa Editura Rumantscha,N/A,"978-3-03845-092-4 : EUR 28.00 (DE), EUR 28.80 (AT), CHF 28.00 (freier Preis)",N/A
1331485363,N/A,Chaconne - aus der Violinpartita Nr. 2 d-moll BWV 1004 = Chaconne - from violin partita no. 2 D minor BWV 1004 / Johann Seb. Bach ; transkribiert für Gitarre solo von Tilman Hoppstock,2025,Darmstadt : Prim Musikverlag,N/A,N/A,N/A
1310867100,"Freers-Jung, Christiane [Verfasser]","Découvertes 1. Version Autriche. Cahier d'activités, Arbeitsheft mit Mediensammlung / Florian Guy, Christiane Freers-Jung, Michael Pfau, Christiane Neveling",2025,"Wien : öbv, Firmensitz Wien",N/A,"978-3-209-13498-1 : EUR 9.50 (DE), EUR 9.50 (AT)",N/A
131086747X,"Fender, Dennis [Verfasser]","Découvertes 4. Version Autriche. Cahier d'activités, Arbeitsheft mit Mediensammlung / Florian Guy, Dennis Fender, Christiane Freers-Jung, Tiana Lichte, Christiane Neveling [und weitere]",2025,"Wien : öbv, Firmensitz Wien",N/A,"978-3-209-11645-1 : EUR 9.50 (DE), EUR 9.50 (AT)",N/A
999979213,"Lutz, Paul","[Du Loup en France - Des Loups Anthropophages] ; Der Wolf in Frankreich - Menschenfressende Wölfe. Du Loup en France - Des Loups antropophages : Die Kampagne von Ferdinand Comte d' Esterno im ""Journal de l' agriculture"" (1876) zur Ausrottung des Wolfes in Frankreich / Ferdinand Charles Philippe de Esterno, Narcisse Seppey",2025,München : Bengelmann,N/A,978-3-930177-17-2 PB. : EUR 18.80,N/A
1334647054,"Courtois, David [Verfasser]","[Guerres d'Arran 4] ; Die Kriege von Arran. Band 4 : Der Kampf der Stadtstaaten / Nicolas Jarry, David Courtois",2025,Bielefeld : Splitter-Verlag,N/A,"978-3-98721-240-6 : EUR 18.00 (DE), EUR 18.50 (AT)",N/A
1172912661,"Ritte, Romy [Übersetzer]",[Les clients d'Avrenos] ; Die Stammgäste / Georges Simenon,2025,Zürich : Kampa Verlag,N/A,"978-3-311-13313-1 : circa EUR 19.90 (DE), circa EUR 20.50 (AT), circa CHF 26.90 (freier Preis)",N/A
1325614130,"Kimminich, Ann [Übersetzer]",[D. N. Angel] ; D.N. Angel Pearls 7 / Yukiru Sugisaki,2025,Hamburg : Carlsen,N/A,"978-3-551-73598-0 Großtaschenbuch, Doppelband: Band 13 und 14 : EUR 12.00 (DE), EUR 12.40 (AT), CHF 17.90 (freier Preis)",N/A
1328802655,"Radke, Frank [Herausgeber]","P.A.U.L. D. - Differenzierende Ausgabe 2021 : Arbeitsheft 9 / Annika Bartsch, Anne Gasch-Sigge, Dr. Tanja Heinemann, Elisabeth Roth-Rings, Sebastian Schulz [und weitere]",2025,Braunschweig : Westermann Schulbuchverlag,N/A,"978-3-14-127525-4 : EUR 10.75 (DE), EUR 11.10 (AT), CHF 12.40 (freier Preis)",N/A
1312206063,"Radke, Frank [Herausgeber]","P.A.U.L. D. - Differenzierende Ausgabe 2021 : Schulbuch 9 / Annika Bartsch, Anne Gasch-Sigge, Dr. Tanja Heinemann, Elisabeth Roth-Rings, Sebastian Schulz [und weitere]",2025,Braunschweig : Westermann Schulbuchverlag,N/A,"978-3-14-127519-3 : EUR 28.50 (DE), CHF 32.80 (freier Preis)",N/A
1257357298,"Lorenz, Ariane [Herausgeber]","P.A.U.L. D. - Persönliches Arbeits- und Lesebuch Deutsch. Für Gymnasien in Bayern : Arbeitsheft 10 / Thomas Bartoldus, Johannes Diekhans, Michael Fuchs, Sandra Greiff-Lüchow, Frank Radke [und weitere]",2025,Braunschweig : Westermann Schulbuchverlag,N/A,"978-3-14-028061-7 mit Lösungen, vierfarb. : EUR 10.95 (DE), EUR 11.30 (AT), CHF 15.50 (freier Preis)",N/A
1248883489,"Lorenz, Ariane","P.A.U.L. D. - Persönliches Arbeits- und Lesebuch Deutsch. Für Gymnasien in Bayern : Schulbuch 10 / Thomas Bartoldus, Johannes Diekhans, Michael Fuchs, Sandra Greiff-Lüchow, Frank Radke [und weitere]",2025,Paderborn : Schöningh Verlag in Westermann Bildungsmedien,N/A,"978-3-14-028055-6 vierfarb., zahlr. Abb. : EUR 27.95 (DE), EUR 28.80 (AT), CHF 35.60 (freier Preis)",N/A
1022455494,N/A,"Stille Größe : Kunstideal und Wehrgedanke bei Schadow, David und Goya / Godehard Janzing",2025,Berlin : Deutscher Kunstverlag,N/A,"978-3-422-07148-3 Englbr. : ca. EUR 34.00 (DE), ca. EUR 35.00 (AT)",N/A
1330828542,N/A,"Victory in Europe : From D-Day to the Destruction of the Third Reich, 1944-1945 / Julian Thompson (Autor)",2025,London : Welbeck,N/A,978-1-0354-2517-4 Festeinband : EUR 37.40,N/A
1331485177,N/A,Violinpartita Nr. 2 d-moll BWV 1004 = Violin partita no. 2 d minor BWV 1004 / Johann Seb. Bach ; transkribiert für Gitarre solo von Tilman Hoppstock,2025,Darmstadt : Prim Musikverlag,N/A,N/A,N/A
1334007691,"Augustinus, Aurelius Heiliger","[Confessiones] ; [Confessionum Libri tredecim] ; D.AVRELII AV=||GVSTINI HIPPONEN-||sis Episcopi, Confessionum || Libri tredecim:|| Operâ Theologorum Louaniensium ex ma-||nuscriptis codicibus multùm emendati.|| Eiusdem Confessio Theologica || Tripartita.|| (SVCCINCTA EXPOSI-||tio Missae Romanae.||)",2024,Leipzig,N/A,N/A,Online-Ressource
1326610988,N/A,Personenbezogener Flächenverbrauch im Verkehr = Consommation d'espace dans le transport de Personnes = Space consumption of passenger transport,2024,[Zürich] : Schweizerischer Verband der Strassen- und Verkehrsfachleute (VSS),N/A,Broschur,N/A
1317845609,N/A,"2024, Nr. 6",2024,N/A,N/A,N/A,N/A
1324505109,N/A,"2024, Nr. 7",2024,N/A,N/A,N/A,N/A
1333213611,N/A,"2024, Nr. 8 LIFE CHANGER im Gesundheitswesen",2024,N/A,N/A,N/A,N/A
1334796459,N/A,"§§ 1, 1a AStG neue Fassung : Änderungen im Vergleich zu § 1 AStG i. d. F. des G. v. 22.12.2014 (BGBl. I 2014, S. 2417) / Atefeh Shariatmadari",2024,Hamburg : Atefeh Shariatmadari,urn:nbn:de:101:1-2407031433553.121854440106,N/A,Online-Ressource
133454719X,N/A,"§§ 1, 1a AStG neue Fassung : Änderungen im Vergleich zu § 1 AStG i. d. F. des G. v. 22.12.2014 (BGBl. I 2014, S. 2417) / Atefeh Shariatmadari",2024,Hamburg : Atefeh Shariatmadari,urn:nbn:de:101:1-2407011414335.444832415356,N/A,Online-Ressource
131557828X,"Robert Paulig Dipl.-Übersetzer (BDÜ), Robert Paulig Dipl.-Übersetzer [Übersetzer]",21 Kurven : Marco Pantani und der Mythos Alpe d'Huez / Fred Poulet,2024,Bielefeld : Delius Klasing Verlag,urn:nbn:de:101:1-2024011103312550905202,978-3-667-12918-5,Online-Ressource
1308944489,N/A,21 Kurven : Marco Pantani und der Mythos Alpe d'Huez / Fred Poulet,2024,Bielefeld : Delius Klasing Verlag,N/A,"978-3-667-12837-9 Broschur : circa EUR 22.00 (DE), circa EUR 22.70 (AT)",N/A
1335404570,N/A,"2130 A.D. (Edutainment-Kultsachbuch) (hier Probetext 30 von 280 Seiten) : Eine Realdystopie nach der Ära Erdöl bei Utopia-Cities, KI, Reproduktion, Kriegstaktik u.v.a. / Robert Mohr",2024,Berlin : neobooks,urn:nbn:de:101:1-2407111927045.371221653912,978-3-7565-8320-1,Online-Ressource
1315423669,N/A,2161 A.D. - Shelter - : Roman / Harald Kaup,2024,Oberhausen/Oberbayern : NOEL-Verlag,N/A,"978-3-96753-176-3 Broschur : EUR 16.90 (DE), EUR 17.40 (AT)",N/A
1326057014,N/A,2162 A.D. - Magellan - : Roman / Harald Kaup,2024,Oberhausen/Oberbayern : NOEL-Verlag,N/A,"978-3-96753-192-3 Broschur : EUR 16.90 (DE), EUR 17.40 (AT)",N/A
1335081429,N/A,2163 A.D. - Deimos - / Harald Kaup,2024,Oberhausen : NOEL-Verlag,N/A,"978-3-96753-199-2 : EUR 16.90 (DE), EUR 17.40 (AT)",N/A
1321274513,N/A,23 Heures de Plaisir : Histoires Érotiques Tabou pour Adultes / Eva Rossi,2024,Ahrensburg : tredition,urn:nbn:de:101:1-2024022116153839125956,978-3-384-14238-2,Online-Ressource
132097385X,N/A,23 Heures de Plaisir : Histoires Érotiques Tabou pour Adultes / Eva Rossi,2024,Sommatino : Eva Rossi,urn:nbn:de:101:1-2024021921162463453290,978-3-384-14237-5,Online-Ressource
1320973841,N/A,23 Heures de Plaisir : Histoires Érotiques Tabou pour Adultes / Eva Rossi,2024,Sommatino : Eva Rossi,urn:nbn:de:101:1-2024021921161641013459,978-3-384-14236-8,Online-Ressource
1320973868,N/A,23 Heures de Plaisir : Histoires Érotiques Tabou pour Adultes / Eva Rossi,2024,Sommatino : Eva Rossi,urn:nbn:de:101:1-2024021921163338222750,978-3-384-14239-9,Online-Ressource
1319132758,N/A,23 Heures de Plaisir : Histoires Érotiques Tabou pour Adultes / Eva Rossi,2024,Ahrensburg : tredition,N/A,"978-3-384-14236-8 : EUR 19.09 (DE), EUR 19.09 (AT), CHF 18.00 (freier Preis)",N/A
131913372X,N/A,23 Heures de Plaisir : Histoires Érotiques Tabou pour Adultes / Eva Rossi,2024,Ahrensburg : tredition,N/A,"978-3-384-14237-5 : EUR 24.75 (DE), EUR 24.75 (AT), CHF 28.00 (freier Preis)",N/A
1319134688,N/A,23 Heures de Plaisir : Histoires Érotiques Tabou pour Adultes / Eva Rossi,2024,Ahrensburg : tredition,N/A,"978-3-384-14239-9 : EUR 19.92 (DE), EUR 19.92 (AT)",N/A
1323307702,Bundesamt für Landestopografie swisstopo,25105 Rochers de Naye : Dent de Jaman - Rout d'Aï - Les Mosses,2024,Wabern : swisstopo,N/A,"978-3-302-25105-9 GEF : EUR 22.00 (DE) (freier Preis), EUR 22.00 (AT) (freier Preis), CHF 21.50 (freier Preis)",N/A
